Police_station_name,address,phone_number,latitude,longitude
Girinagar Police Station,"# 99/G, 6th main Road, BSK 3rd stage, Hosakerehalli Layout, Banashankari 3rd Stage, Girinagar, Bengaluru",080-22942577,12.93622842,77.54395882
Hanumantha Nagar Police Station,"WHP6+GHM, Kuppali Puttappa Poornachandra Tejaswi Rd, Ashok Nagar, Banashankari 1st Stage, Banashankari, Bengaluru, Karnataka 560050",080-22942576,12.93650043,77.56145942
JP Nagar Police Station,"WH6Q+P2C, 21st Main Rd, R.K Colony, R K Colony, 2nd Phase, J. P. Nagar, Bengaluru, Karnataka 560078",080-22942563,12.91192416,77.58751264
Jayanagar police station,"156/1, 6th Main Rd, 4th Block, Jayanagar, Bengaluru, Karnataka 560011",080-22942562,12.92866868,77.58109463
Kempegowda Nagar Police Station,"70, KG Nagar Main Rd, RK Mutt Layout, Gavipuram Guttahalli, Kempegowda Nagar, Bengaluru, Karnataka 560019",080-22942578,12.94973795,77.56320503
Kumaraswamy Layout Police Station,"1755, 14th Main Rd, 1st Stage, Kumaraswamy Layout, Bengaluru, Karnataka 560078",080-22942567,12.90609442,77.56284351
Konanakunte Police Station,"144, Anjanapura Main Rd, Anjanadri Layout, Konanakunte, Bengaluru, Karnataka 560062",080-22942560,12.8841622,77.56644921
Puttenahalli Police Station,"126, KR Layout, JP Nagar Phase 6, J. P. Nagar, Bengaluru, Karnataka 560078",080-22942566,12.90268357,77.58219398
Shankarapura Police Station,"XH39+CXH, Shankar Mutt Rd, Chikkanna Garden, Shankarapura, Sankarapuram, Bengaluru, Karnataka 560004",080-22942558,12.95379416,77.56996408
Siddapura Police Station,"3, 1st Main Rd, 1st Block, Jaya Nagar East, Jayanagar, Bengaluru, Karnataka 560029",080-22942572,12.93889741,77.59261708
Subramanyapura Police Station,"WG2V+FQ9, Gubbalaala Main Rd, Uttarahalli Hobli, Bengaluru, Karnataka 560061",080-22942565,12.90148289,77.54450063
Thalaghattapura police station,"Kanakapura Rd, Talaghattapura, Bengaluru, Karnataka 560062",080-22942359,12.86914018,77.53620945
Victoria Hospital Police Station,"New Tharagupet, Bengaluru",NaN,12.96421154,77.57521776
Amruthahalli Police Station,"3H4X+Q98, Amruth Nagar Main Rd, Sector B, Amruthnagar, Bengaluru, Byatarayanapura CMC and OG Part, Karnataka 560092",080-22943644,13.05717071,77.59841142
Bagalur Police Station,"4MRC+25M, Bagalur Colony, BEML Layout, Razack Palya, Bengaluru, Karnataka 562149",080-28469100,13.14024894,77.67054435
Chikkajala Police Station,"5JCM+X4F, Chikkajala, Bengaluru, Karnataka 562157",080-28467200,13.17269729,77.63288127
Kempegowda Airport Police Station,"Kempegowda International, Airport Road, Hunachur, Karnataka 560300",080-22001102,13.19936234,77.70572218
Kodigehalli Police Station,"3H5M+C5C, BB Nagar, Koti Hosahalli, Bengaluru, Karnataka 560092",NaN,13.0587366,77.58288361
Kothanur Police Station,"3J4W+6G8, New Airport Rd, Geddalahalli, Rammana Layout, Narayanapura, Bengaluru, Karnataka 560077",080-22943694,13.05572025,77.64635419
Sampigehalli Police Station,"3JGM+58H, Next Hegade Nagar, Police Quarters, Thanisandra Main Rd, RK Hegde Nagar, Bengaluru, Karnataka 560077",080-22943692,13.07565119,77.63350057
Vidyaranyapura Police Station,"#281, 1st Main Rd BEL 6th Block, BEL Layout 6th Block, 7th Block, HMT Layout, Vidyaranyapura, Bengaluru, Karnataka 560097",080-22942528,13.08423783,77.56449363
Yelahanka New Town Police Station,"4H2M+2GQ, 3rd B Cross Road, Yelahanka Satellite Town, Yelahanka New Town, Bengaluru, Karnataka 560064",080-22942537,13.10034112,77.58385894
Yelahanka Police Station,"Ambedkar Colony, Yelahanka New Town, Bengaluru, Karnataka 560065",NaN,13.09590521,77.59369191
Bagalagunte Police Station,"4th A Cross Rd, MEI Employees Housing Colony, Bengaluru",080-22942111,13.05983581,77.5036263
Gangamma Gudi Police Station,"Gangamma Gudi Police Station Rd, Abbigere Industrial Area, KVP Nagar, Jalahalli, Bengaluru, Karnataka 560015",080-22942530,13.0725293,77.53016828
Hebbala Police Station,"Bellary Rd, Ayyappa Layout, Hebbal, Bengaluru",080-22942535,13.03867969,77.58954809
JC Nagar Police Station,"2H4V+6FR, VP Deenadayalu Naidu Rd, Jayamahal, Bengaluru, Karnataka 560046",9620144678,13.00577238,77.5935417
Jalahalli Police Station,"HMT Main Rd, Jalahalli Village, Jalahalli, Bengaluru
",080-22942527,13.04885656,77.54961846
Mahalakshmi Layout Police Station,"109, 2nd Cross Road Bovipalya, Mahalakshmipuram, Nagapura, Bengaluru",080-22942523,13.00283856,77.54740685
Malleshwaram Police Station,"3, 5th Cross, Near-KC General Hospital, Malleshwaram, Bengaluru",080-22942810,12.99674926,77.56960991
Nandini Layout Police Station,"ZMF-26, Nandini Layout Main Rd, Nandini Layout, Bengaluru, Karnataka 560096",080-22942539,13.01298985,77.53661814
Peenya Police Station,"Padarayanapalya, Second Cross, Peenya Industrial Area, Near Jalahalli, Bengaluru",9480801324,13.03624433,77.52127738
RMC Yard Police Station,"1, APMC Yard, Yesvantpur Industrial Suburb, Yeswanthpur, Bengaluru, Karnataka 560022",080-22942531,13.02352071,77.54910639
R T Nagar Police Station,"Dinnur Main Rd, P&T Colony, RT Nagar, Bengaluru",080-22942538,13.02496589,77.59307644
Rajagopal Nagar Police Station,"137, Rajagopalanagar Main Road, 3rd Cross KG Nagar, Laggere, Bengaluru",080-22942525,13.01759575,77.51351199
Rajajinagar Police Station,"1150, 5th Cross Road, Dr, Dr Rajkumar Rd, 2nd Block, Prakash Nagar, Rajajinagar, Bengaluru, Karnataka 560021",080-22942807,12.99491349,77.55420111
Sanjayanagara Police Station,"2HMG+88J, Sanjay Nagar Main Rd, CIL Layout A Block, Judicial Colony, Raj Mahal Vilas 2nd Stage, Sanjayanagara, Bengaluru, Karnataka 560094",080-22942533,13.03363899,77.57589521
Soladevanahalli Police station,"SH 39, Defence Colony, Bengaluru, Karnataka 560090",NaN,13.09530948,77.4892819
Srirampura Police Station,"47, 9th Main Rd, Dayananda Nagar, Srirampura, Bengaluru, Karnataka 560021",080-22942520,12.99033265,77.56501634
Subramanya Nagar Police Station,"67, Dr Rajkumar Rd, E block, 2nd Stage, Rajajinagar, Bengaluru, Karnataka 560010",080-22942524,13.00352523,77.55368979
Yeshwanthapura Police Station,"2H95+778, 9th Cross Rd, Ashokapuram, Yesvantpur Industrial Suburb, Mahalakshmi Layout, Bengaluru, Karnataka 560022",080-22942526,13.01835063,77.55812889
Adugodi Traffic Police Station,"BBMP Complex, Corporation Complex,1st Floor, Hosur-Lashkar Road, 30, Hosur Rd, near Vijaya Bank, Adugodi, Bengaluru, Karnataka 560030",080-22943119,12.94170383,77.60875941
Bandepalya Police Station,"WJ4R+6MW, 27th Cross Rd, Neelakanteshwara Layout, Sector 3, HSR Layout, Bengaluru, Karnataka 560102",080-22942236,12.90589223,77.64177367
Begur Police Station,"737, 1, Begur Rd, Vishwapriya Nagar, Begur, Bengaluru, Karnataka 560068",080-22942551,12.87842363,77.62433704
Bommanahalli Police station,"WJ6F+6XQ, 10th Main Rd, NGR Layout, Roopena Agrahara, Bommanahalli, Bengaluru, Karnataka 560068",080-22942269,12.91084071,77.62500216
Electronic city police Station,"near Office, Indra Nagar, Electronics City Phase 1, Konanakunte, Bengaluru, Karnataka 560100",080-22943469,12.84030296,77.663005
HSR Layout Police Station,"WMC2+3HH, 27th Main Rd, 1st Sector, HSR Layout, Bengaluru, Karnataka 560102",080-22943467,12.92051244,77.65154691
Hulimavu Police Station,"VJG2+M3C, Cave Temple Rd, mainBusstop, Pai Layout, Hulimavu, Bengaluru, Karnataka 560076",080-22943470,12.87697922,77.60015342
Koramangala Police Station,"8/A, 20th Main Rd, 6th Block, Koramangala, Bengaluru, Karnataka 560095",080-22942570,12.94128487,77.6213088
Madiwala Traffic Police Station,"WJCC+C78, Madiwala Rd, Santhosapuram, 1st Block Koramangala, Koramangala, Bengaluru, Karnataka 560068",080-22942805,12.92136804,77.62062253
Mico Layout Police Station,"WJ56+F73, 16th Main Rd, Lakshmi Layout, MCHS Colony, BTM 2nd Stage, BTM Layout, Bengaluru, Karnataka 560076",080-22942569,12.90889881,77.61065431
Parappana Agrahara Police Station,"VMG8+WW9, Jail Road, opposite Central Jail, Sai Sree Layout, Bengaluru, Karnataka 560100",080-22943468,12.87753689,77.66729419
Suddaguntepalya Police Station,"42, 4th Main Rd, K.M.Layout, Balaji Nagar, S.G. Palya, Bengaluru, Karnataka 560029",080-22942762,12.92604614,77.60796835
Thilaknagara Police Station,"Swagath Rd, 4th T Block East, Jayanagar 3rd Block East, Jayanagar, Bengaluru, Karnataka 560041",080-22942571,12.92856701,77.59053485
KR Pura Traffic Police Station,"Cluster_k R Puram 2 Clubhouse, Cluster_k R Puram 2, K R Pura Extension,Old Madras Road, Malur - Byranahalli Rd, Opposite Sri Ram Hospital, Devasandra, Krishnarajapuram, Bengaluru, Karnataka 560036",080-29532928,13.01139768,77.69872296
Mahadevapura Police Station,"Bus Stop, Whitefield Main Rd, beside Singayyanapalya, Singayyanapalya, Krishnarajapuram, Bengaluru, Karnataka 560048",080-22942546,12.99689646,77.69278115
Kadugodi Police Station,"XQW5+53P, opposite BMTC Bus Stand, Kadugodi Colony, Kadugodi, Bengaluru, Karnataka 560067",080-22943471,12.99576184,77.75780862
Whitefield Police Station,"POLICE STATION, PRESTIGE WHITE MEADOWS, Whitefield Main Rd, Beside PRESTIGE WHITE MEADOWS, Sathya Sai Layout, Whitefield, Bengaluru, Karnataka 560066",080-22943472,12.97557948,77.75099132
Bellandur Police Station,"37, Sarjapur - Marathahalli Rd, Amblipura, PWD Quarters, 1st Sector, Bellandur, Bengaluru, Karnataka 560103",080-25747771,12.91910656,77.66792982
HAL Police Station,"XM4M+24M, HAL Old Airport Rd, Sector 3, Marathahalli, Bengaluru, Karnataka 560037",080-22942542,12.95529874,77.68288197
"Marathahalli Police Station, Kadubeesanahalli","Kadubeesanahalli, Marathahalli, 88, Marathahalli - Sarjapur Outer Ring Rd, Bengaluru, Karnataka 560037",080-25639999,12.94568519,77.69799005
Varthur Police Station,"WPQW+6Q6, Varthur Road, Market, Near, Varthur, Karnataka 560087",080-28539196,12.9382452,77.74687231
Kumbalagudu Police Station,"VCMX+MRC, SH17, Kumbalgodu, Bengaluru, Karnataka 560074",080-28437599,12.88423246,77.44948822
